duplicate_group,action,canonical,max_similarity,same_source_raw,files
入境游干翻日本中国还需要多久,mark_related_same_title,01_Liter/2026-05-04-入境游干翻日本，中国还需要多久？.md,0.3772,True,01_Liter/2026-05-04-中国入境游赶超日本.md | 01_Liter/2026-05-04-入境游干翻日本，中国还需要多久？.md
全球10条最不精致的街道混乱与包容才是文化的母体,mark_related_same_title,01_Liter/2026-05-04-全球 10 条“最不精致”的街道：混乱与包容才是文化的母体.md,0.3739,True,01_Liter/2026-05-04-全球 10 条“最不精致”的街道：混乱与包容才是文化的母体.md | 01_Liter/2026-05-04-全球最不精致街道的启示.md
前賽默飛員工創業黑燈實驗室實現國內100交付獲近億融資,mark_related_same_title,01_Liter/2026-04-03-前賽默飛員工創業黑燈實驗室，實現國內100%交付，獲近億融資.md,0.3663,False,01_Liter/2026-04-03-前賽默飛員工創業黑燈實驗室，實現國內100%交付，獲近億融資.md | 01_Liter/2026-04-03-黑燈實驗室戴納科技獲近億元融資.md
沉浸式文旅跟着电影去旅行电影文旅沉浸营造地方光影文旅新场景、新业态与新形象,mark_related_same_title,01_Liter/2026-05-04-沉浸式文旅｜跟着电影去旅行，电影+文旅沉浸营造地方光影文旅新场景、新业态与新形象.md,0.366,False,01_Liter/2026-04-30-沉浸式文旅｜“跟着电影去旅行”，“电影+文旅”沉浸营造地方光影文旅新场景、新业态与新形象.md | 01_Liter/2026-05-04-沉浸式文旅｜跟着电影去旅行，电影+文旅沉浸营造地方光影文旅新场景、新业态与新形象.md
我们必须支持那个起诉上海迪士尼的中国年轻人,mark_related_same_title,01_Liter/2026-05-04-我们必须支持那个起诉上海迪士尼的中国年轻人.md,0.3576,True,01_Liter/2026-05-04-我们必须支持那个起诉上海迪士尼的中国年轻人.md | 01_Liter/2026-05-04-支持起诉迪士尼的年轻人.md
招商难看看这5个把公园搬进商场的项目出租率从45飙到了99,mark_related_same_title,01_Liter/2026-05-04-招商难？看看这5个把“公园”搬进商场的项目，出租率从45%飙到了99%.md,0.3418,False,01_Liter/2026-05-04-公园式商业的招商突围.md | 01_Liter/2026-05-04-招商难？看看这5个把“公园”搬进商场的项目，出租率从45%飙到了99%.md
增速降至25背后mcn行业的大退潮与新物种崛起,mark_related_same_title,01_Liter/2026-05-04-增速降至2.5%背后：MCN行业的“大退潮”与“新物种”崛起.md,0.32,False,01_Liter/2026-04-25-增速降至2.5%背后：MCN行业的大退潮与新物种崛起.md | 01_Liter/2026-05-04-MCN行业的大退潮与新物种崛起.md | 01_Liter/2026-05-04-增速降至2.5%背后：MCN行业的“大退潮”与“新物种”崛起.md
那個「愛馬仕」想拯救「智障」小龍蝦,mark_related_same_title,01_Liter/2026-04-12-那個「愛馬仕」，想拯救「智障」小龍蝦.md,0.2962,False,01_Liter/2026-04-11-那個「愛馬仕」，想拯救「智障」小龍蝦.md | 01_Liter/2026-04-12-那個「愛馬仕」，想拯救「智障」小龍蝦.md
网红城市更新火得快、冷得快如何破解,mark_related_same_title,01_Liter/2026-04-30-网红城市更新火得快、冷得快？如何破解？.md,0.2912,False,01_Liter/2026-04-29-网红城市更新火得快、冷得快？如何破解？.md | 01_Liter/2026-04-30-网红城市更新火得快、冷得快？如何破解？.md
不確定時代裡常常被忽略的一項重要能力,mark_related_same_title,01_Liter/2026-04-18-不確定時代裡，常常被忽略的一項重要能力.md,0.2904,False,01_Liter/2026-04-18-不確定時代裡，常常被忽略的一項重要能力.md | 01_Liter/2026-04-21-不確定時代裡，常常被忽略的一項重要能力.md
ai创业时代一人公司的七种打开方式,mark_related_same_title,01_Liter/2026-05-18-AI創業時代，一人公司的七種打開方式.md,0.2864,False,01_Liter/2026-05-14-AI創業時代，一人公司的七種打開方式.md | 01_Liter/2026-05-15-AI創業時代一人公司的七種打開方式.md | 01_Liter/2026-05-18-AI創業時代，一人公司的七種打開方式.md
新消费下半场从卖点竞争到情绪竞争,mark_related_same_title,01_Liter/2026-05-04-新消费下半场：从卖点竞争到情绪竞争.md,0.285,False,01_Liter/2026-05-04-从卖点竞争到情绪竞争.md | 01_Liter/2026-05-04-新消费下半场：从卖点竞争到情绪竞争.md
惠評文旅工業遺產不是城市包袱而是十五五文旅更新的金礦,mark_related_same_title,01_Liter/2026-06-04-工業遺產城市更新文旅金礦.md,0.2604,False,01_Liter/2026-06-04-工業遺產城市更新文旅金礦.md | 01_Liter/2026-06-04-惠評文旅工業遺產不是城市包袱而是十五五文旅更新的金礦.md
有些路不必每一步都走得那么用力,mark_related_same_title,01_Liter/2026-05-04-有些路，不必每一步都走得那么用力.md,0.2602,False,01_Liter/2026-05-04-主体性复建与轻握人生.md | 01_Liter/2026-05-04-有些路，不必每一步都走得那么用力.md
